No.,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
15668,Kamakhya - Gandhidham Express (PT),Exp,NFR,,,KYQ,11:00,GIMB,21:20,58h 20m,33,SMTWTFS,SL 3A 2A 1A,3123 km,54 km/hr,15667
15910,Avadh Assam Express (PT),Exp,NFR,,,LGH,19:50,DBRG,14:05,66h 15m,83,SMTWTFS,SL 3A 2A 1A,3117 km,47 km/hr,15909
15909,Avadh Assam Express (PT),Exp,NFR,,,DBRG,10:20,LGH,04:10,65h 50m,84,SMTWTFS,SL 3A 2A 1A,3117 km,47 km/hr,15910
22659,Thiruvananthapuram North (Kochuveli) - Yog Nagari Rishikesh SF Express (PT),SF,SR,,,TVCN,09:10,YNRK,13:35,52h 25m,27,SMTWTFS,SL 3A 2A 3E,3111 km,59 km/hr,22660
22660,Yog Nagari Rishikesh - Thiruvananthapuram North (Kochuveli) SF Express,SF,SR,,,YNRK,06:15,TVCN,12:30,54h 15m,28,SMTWTFS,SL 3A 2A 3E,3111 km,57 km/hr,22659
22497,Shri Ganganagar - Tiruchchirappalli Humsafar Express,Hms,NWR,,,SGNR,13:45,TPJ,22:10,56h 25m,36,SMTWTFS,3A,3108 km,55 km/hr,22498
22498,Tiruchchirappalli - Shri Ganganagar Humsafar Express,Hms,NWR,,,TPJ,04:45,SGNR,12:20,55h 35m,36,SMTWTFS,3A,3104 km,56 km/hr,22497
12218,Kerala Sampark Kranti Express,SKr,NR,,,CDG,09:30,TVCN,12:30,51h 0m,24,SMTWTFS,SL 3A 2A 1A 3E,3088 km,61 km/hr,12217
12217,Kerala Sampark Kranti Express (PT),SKr,NR,,,TVCN,09:10,CDG,09:50,48h 40m,24,SMTWTFS,SL 3A 2A 1A 3E,3088 km,63 km/hr,12218
20493,Madurai - Chandigarh SF Express (PT),SF,NR,,,MDU,23:40,CDG,03:30,51h 50m,29,SMTWTFS,SL 3A 2A 3E,3074 km,59 km/hr,20494
20494,Chandigarh - Madurai SF Express,SF,NR,,,CDG,08:05,MDU,13:45,53h 40m,29,SMTWTFS,SL 3A 2A 3E,3074 km,57 km/hr,20493
22631,Anuvrat AC SF Express (PT),ACSF,SR,,,MDU,12:05,BKN,14:50,50h 45m,40,SMTWTFS,3A 2A 1A,3060 km,60 km/hr,22632
22632,Anuvrat AC SF Express,ACSF,SR,,,BKN,15:20,MDU,18:35,51h 15m,40,SMTWTFS,3A 2A 1A,3060 km,60 km/hr,22631
22669,Ernakulam Junction. - Patna SF Express (via Nagpur) (PT),SF,SR,,,ERS,23:55,PNBE,06:25,54h 30m,32,SMTWTFS,SL 3A 2A,3047 km,56 km/hr,22670
22670,Patna - Ernakulam Jn. SF Express (via Nagpur) (PT),SF,SR,,,PNBE,16:30,ERS,21:40,53h 10m,35,SMTWTFS,SL 3A 2A,3047 km,57 km/hr,22669
12577,Bagmati Superfast Express (PT),SF,ECR,,,DBG,15:35,MYS,20:00,52h 25m,35,SMTWTFS,SL 3A 2A 1A 3E,3036 km,58 km/hr,12578
12578,Bagmati Superfast Express (PT),SF,ECR,,,MYS,10:30,DBG,16:00,53h 30m,36,SMTWTFS,SL 3A 2A 1A 3E,3036 km,57 km/hr,12577
12626,Kerala Express (PT),SF,SR,,,NDLS,20:10,TVC,21:50,49h 40m,40,SMTWTFS,SL 3A 2A 3E,3031 km,61 km/hr,12625
12625,Kerala Express (PT),SF,SR,,,TVC,12:15,NDLS,13:30,49h 15m,41,SMTWTFS,SL 3A 2A 3E,3031 km,62 km/hr,12626
16312,Thiruvananthapuram North (Kochuveli) - Shri Ganganagar Express (PT),Exp,SR,,,TVCN,15:45,SGNR,02:05,58h 20m,46,SMTWTFS,SL 3A 2A 3E,3015 km,52 km/hr,16311
16311,Shri Ganganagar - Thiruvananthapuram North (Kochuveli) Express (PT),Exp,SR,,,SGNR,13:50,TVCN,19:10,53h 20m,48,SMTWTFS,SL 3A 2A 3E,3015 km,57 km/hr,16312
12644,Hazrat Nizamuddin - Thiruvananthapuram Central Swarna Jayanti SF Express (PT),SF,SR,,,NZM,05:10,TVC,07:00,49h 50m,29,SMTWTFS,SL 2A 3E,3012 km,60 km/hr,12643
12643,Thiruvananthapuram Central - Hazrat Nizamuddin Swarna Jayanti SF Express (PT),SF,SR,,,TVC,14:15,NZM,18:45,52h 30m,30,SMTWTFS,SL 2A 3E,3012 km,57 km/hr,12644
12551,SMVT Bengaluru - Kamakhya AC SF Express (PT),ACSF,NFR,,,SMVB,08:50,KYQ,13:45,52h 55m,27,SMTWTFS,3A 2A 1A,3011 km,57 km/hr,12552
12552,Kamakhya - SMVT Bengaluru AC SF Express (PT),ACSF,NFR,,,KYQ,14:00,SMVB,16:35,50h 35m,27,SMTWTFS,3A 2A 1A,3011 km,60 km/hr,12551
22706,Jammu Tawi - Tirupati Humsafar Express,Hms,SCR,,,JAT,05:45,TPTY,06:40,48h 55m,12,SMTWTFS,3A,2985 km,61 km/hr,22705
22705,Tirupati - Jammu Tawi Humsafar Express,Hms,SCR,,,TPTY,21:10,JAT,18:00,44h 50m,12,SMTWTFS,3A,2985 km,67 km/hr,22706
15630,Nagaon Express (PT),Exp,NFR,,,SHTT,10:50,TBM,21:25,58h 35m,41,SMTWTFS,SL 3A 2A,2970 km,51 km/hr,15629
15629,Nagaon Express (PT),Exp,NFR,,,TBM,18:40,SHTT,02:55,56h 15m,41,SMTWTFS,SL 3A 2A,2970 km,53 km/hr,15630
12510,Guwahati - SMVT Bengaluru SF Express (PT),SF,NFR,,,GHY,06:15,SMVB,10:00,51h 45m,38,SMTWTFS,SL 3A 2A,2969 km,57 km/hr,12509
12509,SMVT Bengaluru - Guwahati SF Express (PT),SF,NFR,,,SMVB,23:40,GHY,04:50,53h 10m,39,SMTWTFS,SL 3A 2A,2968 km,56 km/hr,12510
22512,Kamakhya - Mumbai LTT Karmabhoomi Express (PT),SF,NFR,,,KYQ,18:00,LTT,21:30,51h 30m,26,SMTWTFS,SL 3A 2A 1A,2953 km,57 km/hr,22511
22511,Mumbai LTT - Kamakhya Karmabhoomi Express (PT),SF,NFR,,,LTT,13:15,KYQ,15:30,50h 15m,25,SMTWTFS,SL 3A 2A 1A,2928 km,58 km/hr,22512
22614,Shraddha Sethu SF Express,SF,SR,,,AYC,23:10,RMM,02:45,51h 35m,24,SMTWTFS,SL 3A 2A,2921 km,57 km/hr,22613
22613,Shraddha Sethu SF Express (PT),SF,SR,,,RMM,23:55,AYC,04:40,52h 45m,24,SMTWTFS,SL 3A 2A,2921 km,55 km/hr,22614
12642,Thirukkural SF Express (PT),SF,SR,,,NZM,05:20,CAPE,04:25,47h 5m,21,SMTWTFS,SL 3A 2A,2919 km,62 km/hr,12641
12641,Thirukkural SF Express (PT),SF,SR,,,CAPE,20:30,NZM,18:35,46h 5m,21,SMTWTFS,SL 3A 2A,2919 km,63 km/hr,12642
14619,Tripura Sundari Express (PT),Exp,NR,,,AGTL,15:20,FZR,22:40,55h 20m,30,SMTWTFS,SL 3A 2A 1A 3E,2892 km,52 km/hr,14620
14620,Tripura Sundari Express,Exp,NR,,,FZR,13:25,AGTL,22:50,57h 25m,30,SMTWTFS,SL 3A 2A 1A 3E,2892 km,50 km/hr,14619
16032,Andaman Express,Exp,SR,,,SVDK,22:30,MAS,07:00,56h 30m,69,SMTWTFS,SL 3A 2A,2877 km,51 km/hr,16031
16031,Andaman Express (PT),Exp,SR,,,MAS,05:10,SVDK,10:45,53h 35m,69,SMTWTFS,SL 3A 2A,2877 km,54 km/hr,16032
12514,Silchar - Secunderabad Weekly SF Express (PT),SF,NFR,,,SCL,19:30,CHZ,04:15,56h 45m,35,SMTWTFS,SL 3A 2A 3E,2863 km,50 km/hr,12513
12513,Secunderabad - Silchar Weekly SF Express (PT),SF,NFR,,,CHZ,16:45,SCL,23:40,54h 55m,35,SMTWTFS,SL 3A 2A 3E,2863 km,52 km/hr,12514
22686,Chandigarh - Yesvantpur Karnataka Sampark Kranti Express,SKr,SWR,,,CDG,03:35,YPR,05:40,50h 5m,18,SMTWTFS,SL 3A 2A 1A,2861 km,57 km/hr,22685
22685,Yesvantpur - Chandigarh Karnataka Sampark Kranti Express,SKr,SWR,,,YPR,14:45,CDG,15:45,49h 0m,17,SMTWTFS,SL CC 3A 2A 1A,2861 km,58 km/hr,22686
22653,Thiruvananthapuram Central -  Hazrat Nizamuddin SF Express (via Kottayam) (PT),SF,SR,,,TVC,00:50,NZM,22:40,45h 50m,28,SMTWTFS,SL 3A 2A 3E,2856 km,62 km/hr,22654
22654,Hazrat Nizamuddin - Thiruvananthapuram Central SF Express (Via Kottayam),SF,SR,,,NZM,05:00,TVC,04:45,47h 45m,28,SMTWTFS,SL 3A 2A 3E,2856 km,60 km/hr,22653
22673,Jodhpur- Mannargudi SF Express (PT),SF,SR,,,JU,16:40,MQ,16:35,47h 55m,40,SMTWTFS,SL 3A 2A,2855 km,60 km/hr,22674
22674,Mannargudi - Jodhpur SF Express (PT),SF,SR,,,MQ,13:15,JU,14:15,49h 0m,40,SMTWTFS,SL 3A 2A,2855 km,58 km/hr,22673
22633,Thiruvananthapuram Central - Hazrat Nizamuddin SF Express (Via Alappuzha) (PT),SF,SR,,,TVC,14:40,NZM,12:30,45h 50m,27,SMTWTFS,SL 3A 2A 3E,2844 km,62 km/hr,22634
22634,Hazrat Nizamuddin - Thiruvananthapuram Central SF Express (via Alappuzha),SF,SR,,,NZM,22:15,TVC,19:35,45h 20m,27,SMTWTFS,SL 3A 2A 3E,2844 km,63 km/hr,22633
12431,Thiruvananthapuram Central - Hazrat Nizamuddin Rajdhani Express,Raj,NR,,,TVC,19:15,NZM,12:30,41h 15m,19,SMTWTFS,3A 2A 1A,2844 km,69 km/hr,12432
12432,Hazrat Nizamuddin - Thiruvananthapuram Central Rajdhani Express,Raj,NR,,,NZM,06:16,TVC,23:35,41h 19m,19,SMTWTFS,3A 2A 1A,2844 km,69 km/hr,12431
15934,Amritsar - New Tinsukia Express (PT),Exp,NFR,,,ASR,15:40,NTSK,03:00,59h 20m,36,SMTWTFS,SL 3A 2A 1A 3E,2830 km,48 km/hr,15933
15933,New Tinsukia - Amritsar Express (PT),Exp,NFR,,,NTSK,10:10,ASR,21:05,58h 55m,36,SMTWTFS,SL 3A 2A 1A 3E,2812 km,48 km/hr,15934
20481,Jodhpur - Tiruchchirappalli Humsafar Express,Hms,NWR,,,JU,16:50,TPJ,15:30,46h 40m,18,SMTWTFS,SL 3A,2811 km,60 km/hr,20482
20482,Tiruchchirappalli - Jodhpur Humsafar Express,Hms,NWR,,,TPJ,08:10,JU,06:10,46h 0m,19,SMTWTFS,SL 3A,2811 km,61 km/hr,20481
12645,Millennium SF Express (PT),SF,SR,,,ERS,19:10,NZM,18:45,47h 35m,26,SMTWTFS,SL 3A 2A,2806 km,59 km/hr,12646
12646,Millennium SF Express (PT),SF,SR,,,NZM,05:10,ERS,03:10,46h 0m,25,SMTWTFS,SL 3A 2A 3E,2806 km,61 km/hr,12645
22535,Rameswaram - Banaras Weekly SF Express (PT),SF,NER,,,RMM,23:55,BSBS,01:10,49h 15m,32,SMTWTFS,SL 3A 2A 3E,2789 km,57 km/hr,22536
22536,Banaras - Rameswaram Weekly SF Express,SF,NER,,,BSBS,20:00,RMM,22:30,50h 30m,35,SMTWTFS,SL 3A 2A 3E,2789 km,55 km/hr,22535
22643,Ernakulam Jn. - Patna SF Express (via Asansol) (PT),SF,SR,,,ERS,17:20,PNBE,20:00,50h 40m,42,SMTWTFS,SL 3A 2A,2788 km,55 km/hr,22644
22644,Patna - Ernakulam Jn. SF Express (via Asansol) (PT),SF,SR,,,PNBE,14:00,ERS,15:40,49h 40m,39,SMTWTFS,SL 3A 2A,2788 km,56 km/hr,22643
22475,Hisar - Coimbatore AC SF Express (PT),ACSF,NWR,,,HSR,13:45,CBE,14:30,48h 45m,38,SMTWTFS,3A 2A 1A,2785 km,57 km/hr,22476
22476,Coimbatore - Hisar AC SF Express (PT),ACSF,NWR,,,CBE,14:55,HSR,16:05,49h 10m,38,SMTWTFS,3A 2A 1A,2785 km,57 km/hr,22475
20820,Okha - Puri Dwarka SF Express (PT),SF,ECoR,,,OKHA,19:05,PURI,18:30,47h 25m,39,SMTWTFS,SL 3A 2A,2778 km,59 km/hr,20819
20819,Puri - Okha Dwarka SF Express (PT),SF,ECoR,,,PURI,09:50,OKHA,10:10,48h 20m,38,SMTWTFS,SL 3A 2A,2778 km,57 km/hr,20820
16368,Kashi Tamil Sangamam Express,Exp,SR,,,BSBS,16:20,CAPE,21:00,52h 40m,35,SMTWTFS,SL 3A 2A 1A 3E,2766 km,53 km/hr,16367
16367,Kashi Tamil Sangamam Express (PT),Exp,SR,,,CAPE,20:30,BSBS,23:35,51h 5m,35,SMTWTFS,SL 3A 2A 1A 3E,2766 km,54 km/hr,16368
