No.,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
13009,Doon Express (PT),Exp,ER,,,HWH,20:25,YNRK,07:10,34h 45m,67,SMTWTFS,SL 3A 2A 1A,1533 km,44 km/hr,13010
15959,Kamrup Express (via Guwahati) (PT),Exp,NFR,,,HWH,18:30,DBRG,04:10,33h 40m,53,SMTWTFS,SL 3A 2A,1532 km,45 km/hr,15960
15960,Kamrup Express (via Guwahati) (PT),Exp,NFR,,,DBRG,20:00,HWH,04:40,32h 40m,53,SMTWTFS,SL 3A 2A,1532 km,47 km/hr,15959
12306,New Delhi - Howrah Rajdhani Express (Via Patna),Raj,ER,,,NDLS,16:50,HWH,12:15,19h 25m,7,SMTWTFS,3A 2A 1A,1531 km,79 km/hr,12305
12305,Howrah - New Delhi Rajdhani Express (Via Patna),Raj,ER,,,HWH,14:05,NDLS,10:05,20h 0m,7,SMTWTFS,3A 2A 1A,1531 km,77 km/hr,12306
22132,Gyan Ganga SF Express (PT),SF,CR,,,BSBS,04:25,PUNE,07:15,26h 50m,17,SMTWTFS,SL 3A 2A,1531 km,57 km/hr,22131
12304,Poorva Express (via Patna) (PT),SF,ER,,,NDLS,17:40,HWH,17:00,23h 20m,23,SMTWTFS,SL 3A 2A 1A,1531 km,66 km/hr,12303
12303,Poorva Express (via Patna) (PT),SF,ER,,,HWH,08:00,NDLS,06:05,22h 5m,23,SMTWTFS,SL 3A 2A 1A,1531 km,69 km/hr,12304
22131,Gyan Ganga SF Express (PT),SF,CR,,,PUNE,16:15,BSBS,20:00,27h 45m,17,SMTWTFS,SL 3A 2A,1531 km,55 km/hr,22132
12274,New Delhi - Howrah Duronto Express,Drnt,ER,,,NDLS,12:35,HWH,10:35,22h 0m,5,SMTWTFS,2S SL 3A 2A 1A 3E,1531 km,70 km/hr,12273
12273,Howrah - New Delhi Duronto Express,Drnt,ER,,,HWH,08:45,NDLS,06:40,21h 55m,5,SMTWTFS,2S SL 3A 2A 1A 3E,1531 km,70 km/hr,12274
14312,Ala Hazrat Express (via Mahesana) (PT),Exp,NR,,,BHUJ,16:15,BE,20:35,28h 20m,45,SMTWTFS,SL 3A 2A 3E,1530 km,54 km/hr,14311
14311,Ala Hazrat Express (via Mahesana),Exp,NR,,,BE,06:35,BHUJ,10:50,28h 15m,46,SMTWTFS,SL 3A 2A 3E,1530 km,54 km/hr,14312
15232,Gondia - Barauni Express (PT),Exp,ECR,,,G,21:30,BJU,08:30,35h 0m,35,SMTWTFS,SL 3A 2A 1A 3E,1523 km,44 km/hr,15231
15231,Barauni - Gondia Express (PT),Exp,ECR,,,BJU,10:10,G,18:05,31h 55m,34,SMTWTFS,SL 3A 2A 1A 3E,1523 km,48 km/hr,15232
20915,Lingampalli - Indore Humsafar Express,Hms,WR,,,LPI,22:05,INDB,00:15,26h 10m,10,SMTWTFS,2S SL 3A,1522 km,58 km/hr,20916
15639,Puri - Kamakhya Express (via Adra) (PT),Exp,NFR,,,PURI,14:55,KYQ,21:15,30h 20m,23,SMTWTFS,SL 3A 2A,1520 km,50 km/hr,15640
15644,Kamakhya - Puri Express (via Howrah) (PT),Exp,NFR,,,KYQ,23:45,PURI,07:45,32h 0m,24,SMTWTFS,SL 3A 2A,1520 km,47 km/hr,15643
15643,Puri - Kamakhya Express (Via Howrah) (PT),Exp,NFR,,,PURI,22:10,KYQ,05:10,31h 0m,23,SMTWTFS,SL 3A 2A,1520 km,49 km/hr,15644
22833,Bhubaneswar - SMVT Bengaluru Humsafar Express,Hms,ECoR,,,BBS,12:10,SMVB,12:45,24h 35m,18,SMTWTFS,3A,1516 km,62 km/hr,22834
22834,SMVT Bengaluru - Bhubaneswar Humsafar Express,Hms,ECoR,,,SMVB,16:35,BBS,18:25,25h 50m,18,SMTWTFS,3A,1516 km,59 km/hr,22833
15640,Kamakhya - Puri Express (via Adra) (PT),Exp,NFR,,,KYQ,20:10,PURI,02:55,30h 45m,23,SMTWTFS,SL 3A 2A,1514 km,49 km/hr,15639
12240,Hisar - Mumbai Central Duronto Express,Drnt,WR,,,HSR,10:10,MMCT,08:20,22h 10m,10,SMTWTFS,2S 3A 2A 1A 3E,1512 km,68 km/hr,12239
13020,Bagh Express,Exp,ER,,,KGM,21:50,HWH,11:10,37h 20m,62,SMTWTFS,SL 3A 2A,1512 km,41 km/hr,13019
13019,Bagh Express (PT),Exp,ER,,,HWH,21:45,KGM,09:30,35h 45m,63,SMTWTFS,SL 3A 2A,1512 km,42 km/hr,13020
12239,Mumbai Central - Hisar Duronto Express,Drnt,WR,,,MMCT,23:10,HSR,20:20,21h 10m,10,SMTWTFS,2S 3A 2A 1A 3E,1512 km,71 km/hr,12240
12264,Hazrat Nizamuddin - Pune AC Duronto Express,Drnt,NR,,,NZM,06:16,PUNE,02:10,19h 54m,5,SMTWTFS,3A 2A 1A,1511 km,76 km/hr,12263
12263,Pune - Hazrat Nizamuddin AC Duronto Express,Drnt,NR,,,PUNE,11:10,NZM,07:00,19h 50m,5,SMTWTFS,3A 2A 1A,1511 km,76 km/hr,12264
22178,Mahanagari SF Express,SF,CR,,,BSB,10:00,CSMT,11:40,25h 40m,27,SMTWTFS,SL 3A 2A 1A,1510 km,59 km/hr,22177
22177,Mahanagari SF Express (PT),SF,CR,,,CSMT,00:10,BSB,03:35,27h 25m,29,SMTWTFS,SL 3A 2A 1A,1510 km,55 km/hr,22178
12356,Archana Express,SF,ECR,,,JAT,17:35,PNBE,20:55,27h 20m,18,SMTWTFS,SL 3A 2A 1A 3E,1508 km,55 km/hr,12355
12355,Archana Express (PT),SF,ECR,,,PNBE,07:20,JAT,10:20,27h 0m,18,SMTWTFS,SL 3A 2A 1A 3E,1508 km,56 km/hr,12356
12845,Bhubaneswar - SMVT Bengaluru SF Express (PT),SF,ECoR,,,BBS,07:30,SMVB,08:35,25h 5m,18,SMTWTFS,SL 3A 2A,1506 km,60 km/hr,12846
12846,SMVT Bengaluru - Bhubaneswar SF Express (PT),SF,ECoR,,,SMVB,16:35,BBS,18:25,25h 50m,19,SMTWTFS,SL 3A 2A,1506 km,58 km/hr,12845
12442,New Delhi - Bilaspur Rajdhani Express,Raj,NR,,,NDLS,15:25,BSP,12:00,20h 35m,8,SMTWTFS,3A 2A 1A,1505 km,73 km/hr,12441
12441,Bilaspur - New Delhi Rajdhani Express,Raj,NR,,,BSP,14:00,NDLS,10:40,20h 40m,8,SMTWTFS,3A 2A 1A,1505 km,73 km/hr,12442
22884,Yesvantpur - Puri Weekly Garib Rath Express,GR,ECoR,,,YPR,22:40,PURI,03:55,29h 15m,23,SMTWTFS,3A,1505 km,51 km/hr,22883
22883,Puri - Yesvantpur Weekly Garib Rath Express,GR,ECoR,,,PURI,15:15,YPR,19:45,28h 30m,23,SMTWTFS,3A,1505 km,53 km/hr,22884
12202,Thiruvananthapuram North (Kochuveli) - Mumbai LTT Garib Rath Express (PT),GR,SR,,,TVCN,09:10,LTT,11:45,26h 35m,22,SMTWTFS,CC 3A,1503 km,57 km/hr,12201
12201,Mumbai LTT - Thiruvananthapuram North (Kochuveli) Garib Rath Express (PT),GR,SR,,,LTT,16:45,TVCN,20:25,27h 40m,22,SMTWTFS,CC 3A,1503 km,54 km/hr,12202
22113,Mumbai LTT - Thiruvananthapuram North (Kochuveli) SF Express (PT),SF,CR,,,LTT,16:45,TVCN,20:25,27h 40m,26,SMTWTFS,SL 3A 2A,1503 km,54 km/hr,22114
22114,Thiruvananthapuram North (Kochuveli) - Mumbai LTT SF Express (PT),SF,CR,,,TVCN,00:55,LTT,03:45,26h 50m,26,SMTWTFS,SL 3A 2A,1503 km,56 km/hr,22113
22183,Saket SF Express (PT),SF,CR,,,LTT,06:00,AYC,08:00,26h 0m,18,SMTWTFS,SL 3A 2A,1500 km,58 km/hr,22184
12524,New Delhi - New Jalpaiguri SF Express,SF,NFR,,,NDLS,15:10,NJP,18:25,27h 15m,16,SMTWTFS,SL 3A 2A 1A 3E,1500 km,55 km/hr,12523
18520,Mumbai LTT - Visakhapatnam Express (Via Vijayawada) (PT),Exp,ECoR,,,LTT,06:55,VSKP,10:50,27h 55m,21,SMTWTFS,SL 3A 2A 1A,1500 km,54 km/hr,18519
12523,New Jalpaiguri - New Delhi SF Express (PT),SF,NFR,,,NJP,08:45,NDLS,12:00,27h 15m,16,SMTWTFS,SL 3A 2A 1A 3E,1500 km,55 km/hr,12524
22184,Saket SF Express,SF,CR,,,AYC,14:00,LTT,16:05,26h 5m,17,SMTWTFS,SL 3A 2A,1500 km,57 km/hr,22183
18519,Visakhapatnam - Mumbai LTT Express (Via Vijayawada) (PT),Exp,ECoR,,,VSKP,23:20,LTT,04:30,29h 10m,21,SMTWTFS,SL 3A 2A 1A,1499 km,51 km/hr,18520
16345,Netravati Express (PT),Exp,SR,,,LTT,11:40,TVC,18:20,30h 40m,46,SMTWTFS,SL 3A 2A 3E,1498 km,49 km/hr,16346
16346,Netravati Express (PT),Exp,SR,,,TVC,09:15,LTT,17:05,31h 50m,47,SMTWTFS,SL 3A 2A 3E,1498 km,47 km/hr,16345
11013,Mumbai LTT - Coimbatore Express (PT),Exp,CR,,,LTT,22:35,CBE,06:50,32h 15m,28,SMTWTFS,SL 3A 2A 1A,1496 km,46 km/hr,11014
16353,Kacheguda - Nagercoil Weekly Express,Exp,SR,,,KCG,15:45,NCJ,20:30,28h 45m,26,SMTWTFS,SL 3A 2A,1496 km,52 km/hr,16354
11014,Coimbatore - Mumbai LTT Express (PT),Exp,CR,,,CBE,08:50,LTT,13:55,29h 5m,29,SMTWTFS,SL 3A 2A 1A,1496 km,51 km/hr,11013
16354,Nagercoil - Kacheguda Weekly Express (PT),Exp,SR,,,NCJ,09:15,KCG,12:40,27h 25m,25,SMTWTFS,SL 3A 2A,1496 km,55 km/hr,16353
19224,Jammu Tawi - Sabarmati Express,Exp,WR,,,JAT,07:50,SBIB,14:05,30h 15m,50,SMTWTFS,SL 3A 2A,1495 km,49 km/hr,19223
22467,Varanasi - Gandhinagar Capital Weekly SF Express,SF,NR,,,BSB,15:15,GNC,15:20,24h 5m,12,SMTWTFS,SL 3A 2A 1A 3E,1495 km,62 km/hr,22468
22468,Gandhinagar Capital - Varanasi Weekly SF Express,SF,NR,,,GNC,23:15,BSB,23:15,24h 0m,12,SMTWTFS,SL 3A 2A 1A 3E,1495 km,62 km/hr,22467
20424,Patalkot Express,SF,NR,,,FZR,04:10,SEY,06:20,26h 10m,41,SMTWTFS,SL 3A 2A 3E,1494 km,57 km/hr,20423
20423,Patalkot Express,SF,NR,,,SEY,08:20,FZR,11:25,27h 5m,41,SMTWTFS,SL 3A 2A 3E,1494 km,55 km/hr,20424
12168,Banaras - Mumbai LTT SF Express (PT),SF,CR,,,BSBS,10:10,LTT,12:45,26h 35m,13,SMTWTFS,SL 3A 2A 1A,1494 km,56 km/hr,12167
12167,Mumbai LTT - Banaras SF Express (PT),SF,CR,,,LTT,22:45,BSBS,01:55,27h 10m,13,SMTWTFS,SL 3A 2A 1A,1494 km,55 km/hr,12168
12107,Mumbai LTT - Sitapur Jn. SF Express (PT),SF,CR,,,LTT,16:25,STP,17:25,25h 0m,12,SMTWTFS,SL 3A 2A,1493 km,60 km/hr,12108
12108,Sitapur Jn. - Mumbai LTT SF Express (PT),SF,CR,,,STP,20:45,LTT,21:50,25h 5m,12,SMTWTFS,SL 3A 2A,1493 km,60 km/hr,12107
15212,Jan Nayak Express (UnReserved),Exp,ECR,,,ASR,19:20,DBG,03:05,31h 45m,42,SMTWTFS,,1486 km,47 km/hr,15211
15211,Jan Nayak Express (UnReserved),Exp,ECR,,,DBG,17:20,ASR,01:55,32h 35m,41,SMTWTFS,,1486 km,46 km/hr,15212
22967,Ahmedabad - Prayagraj Weekly SF Express (PT),SF,WR,,,ADI,16:35,PRYJ,16:50,24h 15m,19,SMTWTFS,SL 3A 2A,1483 km,61 km/hr,22968
22968,Prayagraj - Ahmedabad Weekly SF Express (PT),SF,WR,,,PRYJ,18:50,ADI,18:10,23h 20m,19,SMTWTFS,SL 3A 2A,1483 km,64 km/hr,22967
12406,Hazrat Nizamuddin - Bhusaval Gondwana SF Express,SF,NR,,,NZM,15:05,BSL,15:05,24h 0m,27,SMTWTFS,SL 3A 2A 1A 3E,1478 km,62 km/hr,12405
12405,Bhusaval - Hazrat Nizamuddin Gondwana SF Express (PT),SF,NR,,,BSL,06:00,NZM,05:00,23h 0m,27,SMTWTFS,SL 3A 2A 1A 3E,1478 km,64 km/hr,12406
22942,MCTM Udhampur - Indore Weekly SF Express,SF,WR,,,MCTM,11:20,INDB,11:15,23h 55m,17,SMTWTFS,SL 3A 2A 1A 3E,1476 km,62 km/hr,22941
22941,Indore - MCTM Udhampur Weekly SF Express (PT),SF,WR,,,INDB,23:30,MCTM,22:20,22h 50m,17,SMTWTFS,SL 3A 2A 1A 3E,1476 km,65 km/hr,22942
11407,Pune - Lucknow Jn. Express (PT),Exp,CR,,,PUNE,22:00,LJN,00:50,26h 50m,15,SMTWTFS,SL 3A 2A,1475 km,55 km/hr,11408
12104,Lucknow Jn. - Pune SF Express (PT),SF,CR,,,LJN,16:20,PUNE,17:50,25h 30m,12,SMTWTFS,SL 3A 2A,1475 km,58 km/hr,12103
11408,Lucknow Jn - Pune Express (PT),Exp,CR,,,LJN,06:30,PUNE,10:50,28h 20m,15,SMTWTFS,SL 3A 2A,1475 km,52 km/hr,11407
12103,Pune - Lucknow Jn. SF Express (PT),SF,CR,,,PUNE,11:20,LJN,13:15,25h 55m,12,SMTWTFS,SL 3A 2A,1475 km,57 km/hr,12104
22717,Rajkot - Secunderabad SF Express (PT),SF,SCR,,,RJT,05:30,SC,08:00,26h 30m,26,SMTWTFS,SL 3A 2A,1473 km,56 km/hr,22718
15625,Deoghar - Agartala Weekly Express (PT),Exp,NFR,,,DGHR,20:00,AGTL,05:45,33h 45m,19,SMTWTFS,SL 3A 2A,1473 km,44 km/hr,15626
15626,Agartala - Deoghar Weekly Express (PT),Exp,NFR,,,AGTL,19:00,DGHR,05:40,34h 40m,19,SMTWTFS,SL 3A 2A,1473 km,42 km/hr,15625
19223,Sabarmati - Jammu Tawi Express (PT),Exp,WR,,,SBIB,10:25,JAT,18:40,32h 15m,48,SMTWTFS,SL 3A 2A,1495 km,46 km/hr,19224
22718,Secunderabad - Rajkot SF Express (PT),SF,SCR,,,SC,15:10,RJT,17:50,26h 40m,26,SMTWTFS,SL 3A 2A,1469 km,55 km/hr,22717
20809,Nagawali SF Express,SF,ECoR,,,SBP,10:50,NED,13:45,26h 55m,21,SMTWTFS,SL 3A 2A,1468 km,55 km/hr,20810
20810,Nagawali SF Express (PT),SF,ECoR,,,NED,16:30,SBP,18:45,26h 15m,20,SMTWTFS,SL 3A 2A,1468 km,56 km/hr,20809
14662,Shalimar Malani Express,Exp,NR,,,JAT,22:25,BME,04:00,29h 35m,61,SMTWTFS,SL 3A 2A 1A,1467 km,50 km/hr,14661
14661,Shalimar Malani Express,Exp,NR,,,BME,00:20,JAT,05:40,29h 20m,60,SMTWTFS,SL 3A 2A 1A,1467 km,50 km/hr,14662
13168,Agra Cantt. - Kolkata Weekly Express (PT),Exp,ER,,,AGC,05:05,KOAA,08:50,27h 45m,20,SMTWTFS,SL 3A 2A 3E,1465 km,53 km/hr,13167
13167,Kolkata - Agra Cantt. Weekly Express (PT),Exp,ER,,,KOAA,12:10,AGC,15:40,27h 30m,20,SMTWTFS,SL 3A 2A 3E,1465 km,53 km/hr,13168
13282,Rajendra Nagar Terminal - Dibrugarh Weekly Express (PT),Exp,ECR,,,RJPB,14:45,DBRG,22:25,31h 40m,31,SMTWTFS,SL 3A 2A 1A 3E,1462 km,46 km/hr,13281
13281,Dibrugarh - Rajendra Nagar Terminal Weekly Express (PT),Exp,ECR,,,DBRG,05:20,RJPB,12:45,31h 25m,31,SMTWTFS,SL 3A 2A 1A 3E,1462 km,47 km/hr,13282
12178,Mathura - Howrah Chambal Express (PT),SF,NCR,,,MTJ,05:00,HWH,06:55,25h 55m,33,SMTWTFS,SL 3A 2A 3E,1459 km,56 km/hr,12177
12177,Howrah - Mathura Chambal Express (PT),SF,NCR,,,HWH,17:45,MTJ,19:45,26h 0m,33,SMTWTFS,SL 3A 2A 3E,1459 km,56 km/hr,12178
12314,New Delhi - Sealdah Rajdhani Express,Raj,ER,,,NDLS,16:30,SDAH,10:10,17h 40m,6,SMTWTFS,3A 2A 1A,1458 km,83 km/hr,12313
12313,Sealdah - New Delhi Rajdhani Express,Raj,ER,,,SDAH,16:50,NDLS,10:50,18h 0m,6,SMTWTFS,3A 2A 1A,1458 km,81 km/hr,12314
13026,Bhopal - Howrah Weekly Express,Exp,ER,,,BPL,09:30,HWH,15:15,29h 45m,25,SMTWTFS,SL 3A 2A 3E,1455 km,49 km/hr,13025
13025,Howrah - Bhopal Weekly Express,Exp,ER,,,HWH,12:35,BPL,18:20,29h 45m,24,SMTWTFS,SL 3A 2A 3E,1455 km,49 km/hr,13026
12302,New Delhi - Howrah Rajdhani Express (Via Gaya),Raj,ER,,,NDLS,16:50,HWH,09:55,17h 5m,7,SMTWTFS,3A 2A 1A,1451 km,85 km/hr,12301
12301,Howrah - New Delhi Rajdhani Express (Via Gaya),Raj,ER,,,HWH,16:50,NDLS,10:05,17h 15m,7,SMTWTFS,3A 2A 1A,1451 km,84 km/hr,12302
12382,Poorva Express (Via Gaya) (PT),SF,ER,,,NDLS,17:40,HWH,17:00,23h 20m,20,SMTWTFS,SL 3A 2A 1A,1451 km,62 km/hr,12381
12381,Poorva Express (Via Gaya) (PT),SF,ER,,,HWH,08:15,NDLS,06:05,21h 50m,20,SMTWTFS,SL 3A 2A 1A,1451 km,66 km/hr,12382
12330,West Bengal Sampark Kranti Express (PT),SKr,ER,,,ANVT,20:20,SDAH,16:35,20h 15m,7,SMTWTFS,SL 3A 2A 1A,1445 km,71 km/hr,12329
12329,West Bengal Sampark Kranti Express (PT),SKr,ER,,,SDAH,13:10,ANVT,08:50,19h 40m,7,SMTWTFS,SL 3A 2A 1A,1445 km,73 km/hr,12330
22194,Gwalior - Daund Weekly SF Express (PT),SF,NCR,,,GWL,17:15,DD,18:20,25h 5m,24,SMTWTFS,SL 3A 2A 3E,1444 km,58 km/hr,22193
22193,Daund - Gwalior Weekly SF Express (PT),SF,NCR,,,DD,23:10,GWL,00:55,25h 45m,22,SMTWTFS,SL 3A 2A 3E,1444 km,56 km/hr,22194
12215,Delhi Sarai Rohilla - Bandra Terminus Garib Rath Express (PT),GR,NR,,,DEE,08:55,BDTS,07:35,22h 40m,18,SMTWTFS,3A,1436 km,63 km/hr,12216
12216,Bandra Terminus - Delhi Sarai Rohilla Garib Rath Express (PT),GR,NR,,,BDTS,12:00,DEE,11:00,23h 0m,18,SMTWTFS,3A,1436 km,62 km/hr,12215
17418,Sainagar Shirdi - Tirupati Weekly Express (PT),Exp,SCR,,,SNSI,19:35,TPTY,22:45,27h 10m,30,SMTWTFS,SL 3A 2A,1435 km,53 km/hr,17417
12911,Valsad - Haridwar SF Express (PT),SF,WR,,,BL,15:05,HW,14:30,23h 25m,15,SMTWTFS,SL 3A 2A,1435 km,61 km/hr,12912
17417,Tirupati - Sainagar Shirdi Weekly Express (PT),Exp,SCR,,,TPTY,08:15,SNSI,10:45,26h 30m,32,SMTWTFS,SL 3A 2A,1435 km,54 km/hr,17418
12912,Haridwar - Valsad SF Express,SF,WR,,,HW,17:20,BL,14:20,21h 0m,14,SMTWTFS,SL 3A 2A,1435 km,68 km/hr,12911
22169,Rani Kamalapati - Santragachi Humsafar Express,Hms,WCR,,,RKMP,14:25,SRC,16:00,25h 35m,13,SMTWTFS,SL 3A,1434 km,56 km/hr,22170
22170,Santragachi - Rani Kamalapati  Humsafar Express,Hms,WCR,,,SRC,20:15,RKMP,20:05,23h 50m,13,SMTWTFS,SL 3A,1434 km,60 km/hr,22169
12534,Pushpak Express (PT),SF,NER,,,CSMT,08:25,LJN,07:10,22h 45m,14,SMTWTFS,SL 3A 2A 1A 3E,1426 km,63 km/hr,12533
12533,Pushpak Express (PT),SF,NER,,,LJN,21:25,CSMT,22:45,25h 20m,15,SMTWTFS,SL 3A 2A 1A 3E,1426 km,56 km/hr,12534
20851,Bhubaneswar - Puducherry SF Express,SF,ECoR,,,BBS,12:10,PDY,12:00,23h 50m,17,SMTWTFS,SL 3A 2A,1425 km,60 km/hr,20852
20852,Puducherry - Bhubaneswar SF Express (PT),SF,ECoR,,,PDY,18:50,BBS,18:25,23h 35m,17,SMTWTFS,SL 3A 2A,1425 km,60 km/hr,20851
14003,Malda Town - New Delhi Express (PT),Exp,NR,,,MLDT,09:30,NDLS,14:30,29h 0m,21,SMTWTFS,SL 3A 2A 1A,1424 km,49 km/hr,14004
14004,New Delhi - Malda Town Express,Exp,NR,,,NDLS,18:00,MLDT,23:30,29h 30m,21,SMTWTFS,SL 3A 2A 1A,1424 km,48 km/hr,14003
16217,Mysuru - Sainagar Shirdi Weekly Express,Exp,SWR,,,MYS,05:00,SNSI,10:50,29h 50m,25,SMTWTFS,SL CC 3A 2A 1A,1424 km,48 km/hr,16218
16218,Sainagar Shirdi - Mysuru Weekly Express,Exp,SWR,,,SNSI,00:25,MYS,03:35,27h 10m,24,SMTWTFS,SL 3A 2A 1A,1424 km,52 km/hr,16217
14011,Radhikapur - Anand Vihar Terminal Weekly Express,Exp,NR,,,RDP,11:00,ANVT,18:50,31h 50m,27,SMTWTFS,SL 3A 2A 1A,1421 km,45 km/hr,14012
14012,Anand Vihar Terminal - Radhikapur Weekly Express,Exp,NR,,,ANVT,23:45,RDP,07:10,31h 25m,27,SMTWTFS,SL 3A 2A 1A,1421 km,45 km/hr,14011
15705,Champaran Humsafar Express (PT),Hms,NFR,,,KIR,08:10,DLI,11:45,27h 35m,17,SMTWTFS,2S SL 3A,1420 km,51 km/hr,15706
15706,Champaran Humsafar Express,Hms,NFR,,,DLI,16:35,KIR,18:20,25h 45m,17,SMTWTFS,2S SL 3A,1420 km,55 km/hr,15705
12851,Bilaspur - MGR Chennai Central Weekly SF Express (PT),SF,SECR,,,BSP,08:45,MAS,08:00,23h 15m,13,SMTWTFS,SL 3A 2A 1A 3E,1414 km,61 km/hr,12852
12852,MGR Chennai Central - Bilaspur Weekly SF Express (PT),SF,SECR,,,MAS,15:40,BSP,14:30,22h 50m,13,SMTWTFS,SL 3A 2A 1A 3E,1414 km,62 km/hr,12851
13429,Malda Town - Anand Vihar Terminal Weekly Express (PT),Exp,ER,,,MLDT,09:30,ANVT,14:25,28h 55m,23,SMTWTFS,SL 3A 2A,1412 km,49 km/hr,13430
13430,Anand Vihar Terminal - Malda Town Weekly Express,Exp,ER,,,ANVT,17:10,MLDT,23:30,30h 20m,23,SMTWTFS,SL 3A 2A,1412 km,47 km/hr,13429
14322,Ala Hazrat Express (via Bhildi) (PT),Exp,NR,,,BHUJ,18:15,BE,20:35,26h 20m,45,SMTWTFS,SL 3A 2A 3E,1411 km,54 km/hr,14321
14321,Ala Hazrat Express (via Bhildi),Exp,NR,,,BE,06:35,BHUJ,08:50,26h 15m,46,SMTWTFS,SL 3A 2A 3E,1411 km,54 km/hr,14322
22916,Hisar - Bandra Terminus Weekly SF Express (PT),SF,WR,,,HSR,16:10,BDTS,15:50,23h 40m,28,SMTWTFS,SL 3A 2A,1409 km,60 km/hr,22915
22915,Bandra Terminus - Hisar Weekly SF Express (PT),SF,WR,,,BDTS,12:15,HSR,12:30,24h 15m,27,SMTWTFS,SL 3A 2A,1409 km,58 km/hr,22916
22122,Lucknow - Mumbai LTT AC SF Express,ACSF,CR,,,LKO,16:00,LTT,16:15,24h 15m,9,SMTWTFS,3A 2A 1A,1407 km,58 km/hr,22121
22121,Mumbai LTT - Lucknow AC SF Express,ACSF,CR,,,LTT,13:35,LKO,13:20,23h 45m,9,SMTWTFS,3A 2A 1A,1407 km,59 km/hr,22122
20976,Agra Cantt. - Howrah Chambal Express,SF,NCR,,,AGC,05:45,HWH,06:55,25h 10m,32,SMTWTFS,SL 3A 2A 3E,1406 km,56 km/hr,20975
20975,Howrah - Agra Cantt. Chambal Express (PT),SF,NCR,,,HWH,17:45,AGC,19:00,25h 15m,31,SMTWTFS,SL 3A 2A 3E,1406 km,56 km/hr,20976
18523,Visakhapatnam - Banaras Express,Exp,ECoR,,,VSKP,04:20,BSBS,09:25,29h 5m,40,SMTWTFS,SL 3A 2A 1A 3E,1405 km,48 km/hr,18524
18524,Banaras - Visakhapatnam Express (PT),Exp,ECoR,,,BSBS,15:00,VSKP,19:30,28h 30m,40,SMTWTFS,SL 3A 2A 1A 3E,1405 km,49 km/hr,18523
17481,Bilaspur - Tirupati Express (PT),Exp,SCR,,,BSP,15:35,TPTY,22:30,30h 55m,55,SMTWTFS,SL 3A 2A,1404 km,45 km/hr,17482
17482,Tirupati - Bilaspur Express (PT),Exp,SCR,,,TPTY,10:40,BSP,17:25,30h 45m,56,SMTWTFS,SL 3A 2A,1404 km,46 km/hr,17481
20930,Banaras - Udhna Weekly SF Express (via Jabalpur),SF,WR,,,BSBS,04:55,UDN,05:15,24h 20m,12,SMTWTFS,SL 3A 2A,1401 km,58 km/hr,20929
20929,Udhna - Banaras Weekly SF Express (via Jabalpur) (PT),SF,WR,,,UDN,20:35,BSBS,21:00,24h 25m,13,SMTWTFS,SL 3A 2A,1401 km,57 km/hr,20930
19322,Patna - Indore Express (Via Ayodhya Cantt) (PT),Exp,WR,,,PNBE,11:25,INDB,14:25,27h 0m,14,SMTWTFS,SL 3A 2A 1A 3E,1398 km,52 km/hr,19321
19321,Indore - Patna Express (Via Ayodhya Cantt) (PT),Exp,WR,,,INDB,13:55,PNBE,15:45,25h 50m,14,SMTWTFS,SL 3A 2A 1A 3E,1398 km,54 km/hr,19322
11463,Veraval - Jabalpur Express (Via Itarsi) (PT),Exp,WCR,,,VRL,10:05,JBP,14:10,28h 5m,49,SMTWTFS,SL 3A 2A 1A 3E,1398 km,50 km/hr,11464
11464,Jabalpur - Veraval Express (Via Itarsi) (PT),Exp,WCR,,,JBP,14:00,VRL,17:25,27h 25m,49,SMTWTFS,SL 3A 2A 1A 3E,1398 km,51 km/hr,11463
22552,Jalandhar City - Darbhanga Antyodaya Express,Ant,ECR,,,JUC,09:50,DBG,11:50,26h 0m,13,SMTWTFS,,1396 km,54 km/hr,22551
22551,Darbhanga - Jalandhar City Antyodaya Express,Ant,ECR,,,DBG,03:25,JUC,05:10,25h 45m,13,SMTWTFS,,1396 km,54 km/hr,22552
18208,Ajmer - Durg Weekly Express,Exp,SECR,,,AII,19:20,DURG,22:10,26h 50m,22,SMTWTFS,SL 3A 2A 1A 3E,1394 km,52 km/hr,18207
18207,Durg - Ajmer Weekly Express,Exp,SECR,,,DURG,16:00,AII,17:25,25h 25m,22,SMTWTFS,SL 3A 2A 1A 3E,1394 km,55 km/hr,18208
18213,Durg - Ajmer Weekly Express,Exp,SECR,,,DURG,16:00,AII,17:25,25h 25m,19,SMTWTFS,SL 3A 2A 1A 3E,1394 km,55 km/hr,18214
18503,Visakhapatnam - Sainagar Shirdi Weekly Express (PT),Exp,ECoR,,,VSKP,08:20,SNSI,10:45,26h 25m,22,SMTWTFS,SL 3A 2A,1394 km,53 km/hr,18504
18214,Ajmer - Durg Weekly Express,Exp,SECR,,,AII,19:20,DURG,22:10,26h 50m,19,SMTWTFS,SL 3A 2A 1A 3E,1394 km,52 km/hr,18213
18504,Sainagar Shirdi - Visakhapatnam Weekly Express (PT),Exp,ECoR,,,SNSI,19:35,VSKP,21:50,26h 15m,22,SMTWTFS,SL 3A 2A,1392 km,53 km/hr,18503
